# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,211,-18804,1,1,21263,527,0,0,0,0,11,991,0,0,0
FIXED,212,-18885,1,1,32767,524,0,0,0,0,8,629,0,0,0
FIXED,213,-18812,1,1,32767,521,0,0,0,0,7,592,0,0,0
FIXED,214,-18582,1,1,32767,1007,0,0,0,0,4,508,0,0,0
FIXED,215,-18200,1,1,32767,996,0,0,0,0,11,858,0,0,0
FIXED,216,-17672,1,1,31461,971,0,0,0,0,11,927,0,0,0
FIXED,217,-17006,1,1,22222,1067,0,0,0,0,11,961,0,0,0
FIXED,218,-16216,1,1,32767,520,0,0,0,0,10,920,0,0,0
FIXED,219,-15316,1,1,32767,982,0,0,0,0,10,991,0,0,0
FIXED,220,-14323,1,1,22575,974,0,0,0,0,90,917,0,0,0
FIXED,221,-13256,1,1,32767,975,0,0,0,0,10,969,0,0,0
FIXED,222,-12135,1,1,22705,1007,0,0,0,0,4,695,0,0,0
FIXED,223,-10981,1,1,32767,524,0,0,0,0,9,822,0,0,0
FIXED,224,-9815,1,1,32767,970,0,0,0,0,10,944,0,0,0
FIXED,225,-8656,1,1,32767,523,0,0,0,0,9,893,0,0,0
FIXED,226,-7524,1,1,32767,525,0,0,0,0,10,940,0,0,0
FIXED,227,-6437,1,1,16048,525,0,0,0,0,11,970,0,0,0
FIXED,228,-5411,2,2,7326,526,0,0,0,0,12,926,0,0,0
FIXED,229,-4458,2,2,15106,523,0,0,0,0,11,955,0,0,0
FIXED,230,-3590,2,2,18573,993,0,0,0,0,10,879,0,0,0
FIXED,231,-2813,2,2,14011,630,0,0,0,0,10,942,0,0,0
FIXED,232,-2133,2,2,22413,1009,0,0,0,0,10,1036,0,0,0
FIXED,233,-1551,2,2,30084,524,0,0,0,0,9,928,0,0,0
FIXED,234,-1064,2,2,20486,646,0,0,0,0,10,880,0,0,0
FIXED,235,-666,2,2,12875,978,0,0,0,0,2,436,0,0,0
FIXED,236,-351,2,2,32767,629,0,0,0,0,10,1087,0,0,0
FIXED,237,-107,2,2,32767,949,0,0,0,0,59,1020,0,0,0
FIXED,238,80,2,2,21439,631,0,0,0,0,56,905,0,0,0
FIXED,239,223,2,2,29750,631,0,0,0,0,71,1161,0,0,0
FIXED,240,339,2,2,31764,630,0,0,0,0,55,902,0,0,0
FIXED,241,446,2,2,22553,630,0,0,0,0,59,1059,0,0,0
FIXED,242,560,2,2,15070,619,0,0,0,0,23,581,0,0,0
FIXED,243,699,2,2,32767,622,0,0,0,0,53,502,0,0,0
FIXED,244,879,2,2,18816,628,0,0,0,0,9,949,0,0,0
FIXED,245,1115,2,2,32767,969,0,0,0,0,9,610,0,0,0
FIXED,246,1419,2,2,32767,627,0,0,0,0,6,466,0,0,0
FIXED,247,1804,2,2,20225,628,0,0,0,0,48,428,0,0,0
FIXED,248,2276,2,2,13432,659,0,0,0,0,54,520,0,0,0
FIXED,249,2842,2,2,13409,630,0,0,0,0,78,928,0,0,0
FIXED,250,3504,2,2,30028,528,0,0,0,0,10,759,0,0,0
FIXED,251,4259,2,2,14208,529,0,0,0,0,9,781,0,0,0
FIXED,252,5105,2,2,5093,948,0,0,0,0,7,689,0,0,0
FIXED,253,6034,3,2,4456,964,0,0,0,0,79,1134,0,0,0
FIXED,254,7034,3,3,4429,621,0,0,0,0,75,614,0,0,0
FIXED,255,8094,3,3,17777,524,0,0,0,0,9,863,0,0,0
FIXED,256,9196,3,3,32767,527,0,0,0,0,9,1130,0,0,0
FIXED,257,10325,3,3,24345,968,0,0,0,0,9,712,0,0,0
FIXED,258,11459,3,3,32767,630,0,0,0,0,4,622,0,0,0
FIXED,259,12580,3,3,24483,929,0,0,0,0,10,1047,0,0,0
FIXED,260,13666,3,3,32767,941,0,0,0,0,4,625,0,0,0
FIXED,261,14698,3,3,32767,916,0,0,0,0,10,1047,0,0,0
FIXED,262,15654,3,3,32767,629,0,0,0,0,48,829,0,0,0
FIXED,263,16517,3,3,32767,941,0,0,0,0,71,609,0,0,0
FIXED,264,17269,3,3,32767,903,0,0,0,0,11,954,0,0,0
FIXED,265,17895,3,3,32767,935,0,0,0,0,9,812,0,0,0
FIXED,266,18384,3,3,32767,527,0,0,0,0,85,1054,0,0,0
FIXED,267,18726,3,3,28185,630,0,0,0,0,96,999,0,0,0
FIXED,268,18914,3,3,32767,517,0,0,0,0,5,595,0,0,0
FIXED,269,18947,3,3,32767,922,0,0,0,0,11,909,0,0,0
FIXED,270,18825,3,3,32767,899,0,0,0,0,85,995,0,0,0
FIXED,271,18551,3,3,26246,526,0,0,0,0,6,468,0,0,0
FIXED,272,18134,3,3,32767,523,0,0,0,0,8,697,0,0,0
FIXED,273,17583,3,3,32767,973,0,0,0,0,85,979,0,0,0
FIXED,274,16912,3,3,32767,527,0,0,0,0,46,909,0,0,0
FIXED,275,16136,3,3,32767,532,0,0,0,0,9,692,0,0,0
FIXED,276,15274,3,3,32767,635,0,0,0,0,81,977,0,0,0
FIXED,277,14343,3,3,32767,628,0,0,0,0,95,960,0,0,0
FIXED,278,13364,3,3,32767,523,0,0,0,0,85,1121,0,0,0
FIXED,279,12357,3,3,32767,582,0,0,0,0,66,970,0,0,0
FIXED,280,11343,3,3,16815,619,0,0,0,0,85,1045,0,0,0
FIXED,281,10340,3,3,24252,621,0,0,0,0,10,996,0,0,0
FIXED,282,9367,3,3,20925,630,0,0,0,0,10,721,0,0,0
FIXED,283,8441,3,3,5759,590,0,0,0,0,11,1086,0,0,0
FIXED,284,7575,3,3,5880,660,0,0,0,0,10,1101,0,0,0
FIXED,285,6782,3,3,5126,912,0,0,0,0,10,847,0,0,0
FIXED,286,6069,3,2,2924,519,0,0,0,0,40,454,0,0,0
FIXED,287,5443,2,2,4268,639,0,0,0,0,56,843,0,0,0
FIXED,288,4907,2,2,2602,622,0,0,0,0,9,834,0,0,0
FIXED,289,4458,2,2,17736,531,0,0,0,0,53,864,0,0,0
FIXED,290,4094,2,2,21142,896,0,0,0,0,87,959,0,0,0
FIXED,291,3807,2,2,23021,623,0,0,0,0,47,621,0,0,0
FIXED,292,3588,2,2,9962,884,0,0,0,0,9,850,0,0,0
FIXED,293,3425,2,2,12518,622,0,0,0,0,3,492,0,0,0
FIXED,294,3303,2,2,11425,619,0,0,0,0,60,514,0,0,0
FIXED,295,3206,2,2,10119,526,0,0,0,0,9,758,0,0,0
FIXED,296,3119,2,2,15927,629,0,0,0,0,10,665,0,0,0
FIXED,297,3023,2,2,21082,628,0,0,0,0,10,1051,0,0,0
FIXED,298,2900,2,2,17269,624,0,0,0,0,4,559,0,0,0
FIXED,299,2736,2,2,11256,627,0,0,0,0,46,596,0,0,0
FIXED,300,2513,2,2,17526,635,0,0,0,0,11,1014,0,0,0
FIXED,301,2218,2,2,14540,630,0,0,0,0,10,1114,0,0,0
FIXED,302,1838,2,2,9534,874,0,0,0,0,11,924,0,0,0
FIXED,303,1365,2,2,23876,868,0,0,0,0,80,1073,0,0,0
FIXED,304,792,2,2,13684,888,0,0,0,0,82,1003,0,0,0
FIXED,305,114,2,2,16371,872,0,0,0,0,10,737,0,0,0
FIXED,306,-668,2,2,24236,890,0,0,0,0,11,934,0,0,0
FIXED,307,-1551,2,2,23047,869,0,0,0,0,11,989,0,0,0
FIXED,308,-2529,2,2,9898,880,0,0,0,0,11,992,0,0,0
FIXED,309,-3594,2,2,23142,839,0,0,0,0,81,955,0,0,0
FIXED,310,-4732,2,2,11027,907,0,0,0,0,11,1004,0,0,0
FIXED,311,-5930,2,1,3054,864,0,0,0,0,11,939,0,0,0
FIXED,312,-7169,1,1,11218,932,0,0,0,0,70,1019,0,0,0
FIXED,313,-8432,1,1,24440,908,0,0,0,0,79,948,0,0,0
FIXED,314,-9698,1,1,22841,895,0,0,0,0,3,446,0,0,0
FIXED,315,-10946,1,1,32767,841,0,0,0,0,11,1023,0,0,0
FIXED,316,-12155,1,1,32767,868,0,0,0,0,85,889,0,0,0
FIXED,317,-13305,1,1,32767,523,0,0,0,0,83,930,0,0,0
FIXED,318,-14375,1,1,32767,841,0,0,0,0,10,998,0,0,0
FIXED,319,-15348,1,1,32767,527,0,0,0,0,11,937,0,0,0
FIXED,320,-16206,1,1,32767,522,0,0,0,0,92,1069,0,0,0
FIXED,321,-16937,1,1,24730,631,0,0,0,0,86,969,0,0,0
FIXED,322,-17528,1,1,32767,891,0,0,0,0,50,865,0,0,0
FIXED,323,-17971,1,1,24088,782,0,0,0,0,9,987,0,0,0
FIXED,324,-18262,1,1,28151,615,0,0,0,0,58,1170,0,0,0
FIXED,325,-18399,1,1,32767,616,0,0,0,0,64,1164,0,0,0
FIXED,326,-18384,1,1,32767,623,0,0,0,0,7,643,0,0,0
FIXED,327,-18221,1,1,19779,636,0,0,0,0,5,566,0,0,0
FIXED,328,-17921,1,1,25223,629,0,0,0,0,10,1288,0,0,0
FIXED,329,-17492,1,1,32767,911,0,0,0,0,68,614,0,0,0
FIXED,330,-16951,1,1,32767,621,0,0,0,0,5,694,0,0,0
FIXED,331,-16312,1,1,32767,596,0,0,0,0,49,1121,0,0,0
